Collegamento;Label_gemini-1.0-pro-vision;Label_gemini-1.5-flash;Label_gemini-1.5-pro
Kaiber\Kaiber_4.mp4;0;0;0
Runway\Runway_0.mp4;0;1;0
Runway\Runway_1.mp4;1;1;1
Runway\Runway_2.mp4;1;1;1
Runway\Runway_3.mp4;0;1;1
Runway\Runway_4.mp4;1;1;1
Runway\Runway_7.mp4;1;1;1
Runway\Runway_8.mp4;1;1;1
Runway\Runway_9.mp4;0;0;0
Runway\Runway_10.mp4;1;0;1
Runway\Runway_11.mp4;1;1;1
Runway\Runway_12.mp4;1;1;1
Runway\Runway_13.mp4;1;0;0
Runway\Runway_14.mp4;1;1;1
Runway\Runway_15.mp4;1;1;1
Runway\Runway_16.mp4;1;1;1
Runway\Runway_17.mp4;1;1;1
Runway\Runway_18.mp4;1;1;1
Runway\Runway_19.mp4;1;1;1
Runway\Runway_20.mp4;1;1;1
Runway\Runway_21.mp4;1;1;1
Runway\Runway_22.mp4;0;1;1
Runway\Runway_24.mp4;1;0;1
Runway\Runway_25.mp4;1;1;1
Runway\Runway_26.mp4;0;0;0
Runway\Runway_27.mp4;0;0;0
Runway\Runway_28.mp4;0;0;0
Runway\Runway_29.mp4;0;0;0
Runway\Runway_30.mp4;0;0;0
Runway\Runway_32.mp4;0;0;0
Runway\Runway_33.mp4;1;0;1
Runway\Runway_34.mp4;0;1;1
Runway\Runway_31.mp4;0;1;1
Runway\Runway_6.mp4;0;0;0
Runway\Runway_23.mp4;1;1;1
Runway\Runway_5.mp4;0;1;1
Genmo\Genmo_0.mp4;1;0;0
Genmo\Genmo_1.mp4;1;1;1
Genmo\Genmo_2.mp4;0;0;0
Genmo\Genmo_3.mp4;1;1;1
Genmo\Genmo_4.mp4;1;0;0
Genmo\Genmo_5.mp4;1;1;0
Genmo\Genmo_6.mp4;1;1;1
Genmo\Genmo_7.mp4;1;1;1
Genmo\Genmo_8.mp4;1;1;1
Genmo\Genmo_9.mp4;1;1;1
Genmo\Genmo_10.mp4;1;1;1
Genmo\Genmo_11.mp4;1;1;1
Genmo\Genmo_12.mp4;1;1;1
Genmo\Genmo_13.mp4;1;1;1
Pika\Pika_0.mp4;0;0;0
Pika\Pika_1.mp4;0;1;1
Pika\Pika_2.mp4;1;0;1
Pika\Pika_3.mp4;1;1;1
Pika\Pika_4.mp4;1;0;1
Pika\Pika_5.mp4;1;1;1
Pika\Pika_6.mp4;0;0;0
Pika\Pika_7.mp4;1;0;1
Pika\Pika_8.mp4;1;1;1
Pika\Pika_9.mp4;1;0;1
Pika\Pika_10.mp4;1;1;0
Pika\Pika_11.mp4;1;1;1
Pika\Pika_12.mp4;0;0;0
Pika\Pika_13.mp4;1;1;1
Pika\Pika_14.mp4;0;0;0
Pika\Pika_15.mp4;0;0;0
Pika\Pika_16.mp4;0;1;1
Pika\Pika_17.mp4;0;0;0
Pika\Pika_18.mp4;0;0;0
Pika\Pika_19.mp4;0;0;1
Pika\Pika_20.mp4;1;1;1
Pika\Pika_21.mp4;1;1;1
Pika\Pika_22.mp4;0;1;0
Zeroscope\Zeroscope_0.mp4;0;0;0
Zeroscope\Zeroscope_1.mp4;1;1;1
pixverse\pixverse_0.mp4;1;1;1
pixverse\pixverse_1.mp4;1;1;0
pixverse\pixverse_2.mp4;1;1;1
pixverse\pixverse_3.mp4;0;0;0
Vidnoz\Vidnoz_0.mp4;1;1;1
